Author,Genres
Robert Holdstock,Crime Fiction
Boris Akunin,Crime Fiction
Colin Dexter,Crime Fiction
Ruth Rendell,Crime Fiction
Henning Mankell,Crime Fiction
H. R. F. Keating,Crime Fiction
H. R. F. Keating,Crime Fiction
Ruth Rendell,Crime Fiction
J. D. Robb,Crime Fiction
Minette Walters,Crime Fiction
Al Fray,Crime Fiction
Gabriel García Márquez,Crime Fiction
Agatha Christie,Crime Fiction
Raymond Chandler,Crime Fiction
Henning Mankell,Crime Fiction
Agatha Christie,Crime Fiction
Agatha Christie,Crime Fiction
Agatha Christie,Crime Fiction
J. D. Robb,Crime Fiction
Agatha Christie,Crime Fiction
Scott Turow,Crime Fiction
Ruth Rendell,Crime Fiction
Dashiell Hammett,Crime Fiction
James Ellroy,Crime Fiction
Anthony Berkeley  writing as Francis Iles,Crime Fiction
Carl Hiaasen,Crime Fiction
Elizabeth George,Crime Fiction
Agatha Christie,Crime Fiction
Charles Finch,Crime Fiction
Jonathan Latimer,Crime Fiction
Ruth Rendell,Crime Fiction
Ruth Rendell,Crime Fiction
Tim Dorsey,Crime Fiction
Alan Dean Foster,Crime Fiction
Agatha Christie,Crime Fiction
Daniel Odier,Crime Fiction
James Patterson,Crime Fiction
Colin Bateman,Crime Fiction
H. R. F. Keating,Crime Fiction
Barbara Vine,Crime Fiction
Jeff Lindsay,Crime Fiction
Laurie R. King,Crime Fiction
Ruth Rendell,Crime Fiction
Agatha Christie,Crime Fiction
Ian Rankin,Crime Fiction
Agatha Christie,Crime Fiction
George Pelecanos,Crime Fiction
Lindsey Davis,Crime Fiction
Ruth Rendell,Crime Fiction
Ian Rankin,Crime Fiction
Lindsey Davis,Crime Fiction
Colin Dexter,Crime Fiction
Agatha Christie,Crime Fiction
Eugenio Fuentes,Crime Fiction
Ellis Peters,Crime Fiction
Ruth Rendell,Crime Fiction
Mark Winegardner,Crime Fiction
Barbara Vine (Ruth Rendell),Crime Fiction
John D. MacDonald,Crime Fiction
Agatha Christie,Crime Fiction
Agatha Christie,Crime Fiction
Margery Allingham,Crime Fiction
Jeffery Deaver,Crime Fiction
Ruth Rendell,Crime Fiction
Jo Nesbø,Crime Fiction
Morag Joss,Crime Fiction
Elmore Leonard,Crime Fiction
Gregory Mcdonald,Crime Fiction
Josephine Tey,Crime Fiction
